0,航站楼,airport_terminal
1,停机坪,landing_field
2,机舱,airplane_cabin
3,游乐场,amusement_park
4,冰场,skating_rink
5,舞台,arena/performance
6,艺术室,art_room
7,流水线,assembly_line
8,棒球场,baseball_field
9,橄榄球场,football_field
10,足球场,soccer_field
11,排球场,volleyball_court
12,高尔夫球场,golf_course
13,田径场,athletic_field
14,滑雪场,ski_slope
15,篮球馆(场),basketball_court
16,健身房,gymnasium
17,保龄球馆,bowling_alley
18,游泳池,swimming_pool
19,拳击场,boxing_ring
20,跑马场,racecourse
21,田地/农场,farm/farm_field
22,果园菜园,orchard/vegetable
23,牧场,pasture
24,乡村,countryside
25,温室,greenhouse
26,电视台(演播室),television_studio
27,亚洲寺庙,temple/east_asia
28,亭子,pavilion
29,塔,tower
30,宫殿,palace
31,西式教堂,church
32,街道,street
33,餐厅食堂,dining_room
34,咖啡厅,coffee_shop
35,厨房,kitchen
36,广场,plaza
37,实验室,laboratory
38,酒吧,bar
39,会议室,conference_room
40,办公室,office
41,医院,hospital
42,售票处,ticket_booth
43,露营地(帐篷）,campsite
44,音乐工作室,music_studio
45,电梯/楼梯,elevator/staircase
46,公园/花园,garden
47,建筑工地,construction_site
48,大型综合超市,general_store
49,商店,clothing_store
50,集市,bazaar
51,图书馆/书店,library/bookstore
52,教室,classroom
53,海洋沙滩,ocean/beach
54,消防,firefighting
55,加油站,gas_station
56,垃圾场,landfill
57,阳台,balcony
58,游戏/棋牌室,recreation_room
59,舞厅,discotheque
60,博物馆,museum
61,沙漠,desert/sand
62,漂流,raft
63,树林,forest
64,桥,bridge
65,住宅,residential_neighborhood
66,汽车展厅,auto_showroom
67,河流湖泊,lake/river
68,水族馆,aquarium
69,沟渠,aqueduct
70,宴会厅,banquet_hall
71,卧室,bedchamber
72,山,mountain
73,站台,station/platform
74,草地,lawn
75,育儿室,nursery
76,美容/美发店,beauty_salon
77,修理店,repair_shop
78,斗牛场,rodeo
79,雪屋/冰雕(山),igloo/ice_engraving
